id,nombre,ubicacion,tiempo_ingreso,tiempo_traspaso,intervalo_despacho
SUC-001,Supermercado Central,Zona 1 Quetzaltenango,5,10,15
SUC-002,Despensa Norte,Zona 3 Quetzaltenango,3,8,12
SUC-003,Market Sur,San Mateo,4,12,20
SUC-004,Express Oriente,Zona 10 Quetzaltenango,2,5,10
SUC-005,Bodega Intermedia,La Esperanza,"45",15,25
SUC-006,Tienda Las Flores,Zona 5 Quetzaltenango,4,9,14
SUC-007,Mini Market El Centro,Zona 1 Quetzaltenango,3,7,11
SUC-008,Super Ahorro,Xecaracoj,6,12,18
SUC-009,Comercial La Terminal,Zona 3 Quetzaltenango,5,10,15
SUC-010,Tienda El Carmen,Zona 7 Quetzaltenango,2,6,9
SUC-011,Market La Democracia,La Democracia,4,11,16
SUC-012,Distribuidora Occidente,Salcajá,6,14,20
SUC-013,Mini Súper San Juan,San Juan Ostuncalco,5,13,19
SUC-014,Super Tienda Xela,Zona 8 Quetzaltenango,3,9,12
SUC-015,Comercial El Trébol,Zona 9 Quetzaltenango,4,10,14
SUC-016,Tienda Familiar La Esperanza,La Esperanza,3,8,13
SUC-017,Despensa Popular,Olintepeque,5,11,17
SUC-018,Market El Rosario,Zunil,4,12,18
SUC-019,Super Express Centro,Zona 2 Quetzaltenango,2,6,10
SUC-020,Mini Market La Reforma,Zona 6 Quetzaltenango,3,7,11
SUC-021,Bodega Regional Occidente,Totonicapán,7,15,22
SUC-022,Distribuidora San Andrés,San Andrés Xecul,6,13,19
SUC-023,Super Tienda Almolonga,Almolonga,5,12,18
SUC-024,Tienda La Colina,Zona 4 Quetzaltenango,3,9,13
SUC-025,Market Central 2,Zona 1 Quetzaltenango,4,10,15
SUC-026,Despensa Moderna,Salcajá,5,11,16
SUC-027,Mini Súper Las Rosas,Zunil,3,8,12
SUC-028,Super Ahorro 2,Olintepeque,6,14,21
SUC-029,Tienda El Bosque,San Mateo,4,10,14
SUC-030,Comercial La Esperanza 2,La Esperanza,5,12,18
