Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Grass Fed Beef Patties,0000000001,Food - Meat,2026-06-05,"Alimera Sciences, Inc.",553.47,267
Mechanical Keyboard,0000000002,Computers,2025-07-18,WisdomTree Germany Hedged Equity Fund,896.36,298
Portable Blender,0000000003,Kitchen,2025-09-21,ZIOPHARM Oncology Inc,290.47,886
Lightweight Rain Jacket,0000000004,Clothing - Outerwear,2026-10-14,"Arrow Electronics, Inc.",81.92,514
Spicy Kimchi,0000000005,Food - Condiments,2025-10-12,"HubSpot, Inc.",563.07,240
Inflatable Party Cooler,0000000006,Outdoor,2026-12-13,"Capricor Therapeutics, Inc.",564.1,895
Watercolor Paint Set,0000000007,Art Supplies,2026-12-17,"New Oriental Education & Technology Group, Inc.",209.47,56
Travel Orthopedic Pillow,0000000008,Travel,2026-08-11,Lehman ABS Corporation,689.55,776
Mango Chunks,0000000009,Food - Frozen Fruits,2025-05-01,Nuveenn Intermediate Duration Quality Municipal Term Fund,532.8,101
Dark Chocolate Bars,0000000010,Food - Snacks,2026-10-30,Momo Inc.,380.59,827
Vegetable Pizza Rolls,0000000011,Food - Frozen Foods,2025-12-23,"Ambac Financial Group, Inc.",445.28,474
Organic Brown Sugar,0000000014,Food - Baking,2026-08-06,Astoria Financial Corporation,949.26,579
Wall Art Stickers,0000000015,Home,2026-09-09,Morgan Stanley,621.61,627
Digital Wireless Meat Thermometer,0000000016,Kitchen,2026-11-30,"A. Schulman, Inc.",197.29,67
Herb Seasoned Rice,0000000017,Food - Sides,2026-01-30,"Alamo Group, Inc.",861.5,581
Cream Cheese,0000000018,Food - Dairy,2025-06-17,First Trust Senior Loan Fund ETF,87.27,221
Lemon Pepper Seasoning,0000000019,Food - Seasonings,2026-09-03,China Life Insurance Company Limited,590.05,716
Cinnamon Spiced Almonds,0000000020,Food - Snacks,2025-07-03,"Twin Disc, Incorporated",132.17,298
Fleece Hoodie,0000000021,Clothing - Outerwear,2026-03-03,"Destination XL Group, Inc.",409.92,273
Chocolate Coconut Protein Balls,0000000022,Food - Snacks,2025-04-23,Seritage Growth Properties,116.6,957
Peach & Mango Salsa,0000000023,Food - Snacks,2026-01-04,CalAmp Corp.,563.49,972
Ginger Turmeric Latte Mix,0000000024,Food - Beverages,2026-08-30,"KMG Chemicals, Inc.",115.51,441
Fire Roasted Salsa,0000000025,Food - Condiments,2026-02-07,ITT Inc.,241.9,347
Chia Seed Pudding,0000000026,Food - Snacks,2025-06-24,"U.S. Global Investors, Inc.",812.13,690
Mixed Nuts,0000000027,Food - Snacks,2026-05-26,"RTI Surgical, Inc.",269.85,249
Hibiscus Tea Bags,0000000028,Food - Beverages,2025-09-12,Blackrock Municipal 2018 Term Trust,712.73,476
Sweet Potato Noodles,0000000029,Food - Pasta,2025-10-26,Flaherty & Crumrine Preferred Securities Income Fund Inc,220.42,718
Pumpkin Pie Spice,0000000030,Food - Baking,2026-05-20,CAE Inc,561.78,514
Personal Blender with Travel Cup,0000000031,Kitchen,2025-05-31,Capital Southwest Corporation,550.67,726
Savory Rice Cakes,0000000032,Food - Snacks,2026-11-12,Eagle Point Credit Company Inc.,157.21,92
Organic Ramen Noodles,0000000033,Food - Pasta,2026-05-31,RenaissanceRe Holdings Ltd.,562.71,67
Frozen Pizza,0000000034,Food - Frozen Foods,2026-05-18,Eaton Vance NextShares Trust,701.39,784
Beef Tacos,0000000035,Food - Meat,2026-10-22,VALE S.A.,208.92,942
Wall-Mounted Organizer,0000000036,Home,2026-07-20,"Blackrock MuniHoldings California Quality Fund,  Inc.",947.8,284
Matcha Green Tea Powder,0000000037,Food - Beverages,2025-04-19,"Guaranty Federal Bancshares, Inc.",977.96,933
Creamy Tomato Basil Soup,0000000038,Food - Canned Goods,2026-11-22,Textron Inc.,840.67,676
Dill Pickle Chips,0000000039,Food - Condiments,2026-11-06,Virtusa Corporation,97.92,540
Frozen Pizza,0000000040,Food - Frozen Foods,2026-01-25,"Edge Therapeutics, Inc.",149.05,114
Insulated Sport Tumbler,0000000041,Fitness,2026-04-09,Eaton Vance NextShares Trust,458.42,987
Tandoori Chicken Skewers,0000000042,Food - Meat,2025-06-26,Nuveen Mortgage Opportunity Term Fund,260.05,882
Golf Putting Green,0000000043,Sports,2026-05-18,"Sandy Spring Bancorp, Inc.",941.33,109
Phone Case,0000000044,Accessories,2026-12-11,"eHealth, Inc.",386.58,614
Warm Knit Beanie,0000000045,Clothing - Accessories,2026-11-13,Bank of South Carolina Corp.,150.69,843
Cordless Water Flosser,0000000046,Health,2025-09-20,"Aqua America, Inc.",547.27,275
Wall Art,0000000047,Home,2026-05-08,"Exelixis, Inc.",488.19,441
Personalized Cutting Board,0000000048,Kitchen,2025-08-16,"Biocept, Inc.",720.76,130
Brazil Nuts,0000000049,Food - Nuts,2025-12-23,"MediciNova, Inc.",629.29,566
Portable Electric Fan,0000000050,Home,2026-12-13,"Redwood Trust, Inc.",258.98,831
Wildflower Honey,0000000051,Food - Condiments,2025-09-11,Broadway Financial Corporation,163.27,37
Desk Organizer Set,0000000052,Office,2026-03-30,CoreSite Realty Corporation,957.1,474
