origen,destino,tiempo,costo
SUC-001,SUC-002,5,5.00
SUC-002,SUC-003,20,35.00
SUC-001,SUC-003,45,60.00
SUC-003,SUC-004,10,15.75
SUC-004,SUC-005,30,50.00
SUC-002,SUC-005,60,100.00
SUC-005,SUC-003,20,35.00
SUC-001,SUC-004,25,40.00
SUC-003,SUC-006,15,20.00
SUC-006,SUC-007,8,12.00
SUC-007,SUC-008,18,28.00
SUC-004,SUC-007,12,18.00
SUC-008,SUC-009,10,15.00
SUC-009,SUC-010,7,10.00
SUC-010,SUC-011,14,22.00
SUC-006,SUC-011,20,30.00
SUC-011,SUC-012,25,38.00
SUC-012,SUC-013,30,45.00
SUC-005,SUC-012,35,55.00
SUC-013,SUC-014,10,15.00
SUC-014,SUC-015,8,12.00
SUC-015,SUC-016,12,18.00
SUC-016,SUC-017,15,22.00
SUC-017,SUC-018,20,30.00
SUC-018,SUC-019,25,38.00
SUC-019,SUC-020,5,8.00
SUC-020,SUC-001,10,14.00
SUC-007,SUC-019,22,35.00
SUC-009,SUC-019,18,28.00
SUC-010,SUC-020,9,13.00
